Player,MLB_ID,Year,Max_EV,Avg_EV,Hard_Hit_Pct,Barrel_Pct,PA,AVG,OBP,SLG,OPS,wRC_Plus
"Hosmer, Eric",543333,2015,113.9,89.8,40.8,7.1,667.0,0.297,0.363,0.459,0.822,124.0
"Howard, Ryan",429667,2015,110.7,91.3,45.2,11.7,503.0,0.229,0.277,0.443,0.72,93.0
"Hundley, Nick",460026,2015,108.6,89.1,35.1,3.8,389.0,0.301,0.339,0.467,0.807,105.0
"Hunter, Torii",116338,2015,108.1,88.5,34.9,5.0,567.0,0.24,0.293,0.409,0.702,89.0
"Iannetta, Chris",455104,2015,112.8,89.6,35.4,6.8,317.0,0.188,0.293,0.335,0.628,78.0
"Iglesias, Jose",578428,2015,108.6,83.7,18.7,0.0,454.0,0.3,0.347,0.37,0.717,97.0
"Inciarte, Ender",542255,2015,107.3,85.5,19.9,1.3,561.0,0.303,0.338,0.408,0.747,100.0
"Infante, Omar",408299,2015,104.7,84.2,20.4,0.8,455.0,0.22,0.234,0.318,0.552,43.0
"Jackson, Austin",457706,2015,109.1,89.6,39.8,3.8,527.0,0.267,0.311,0.385,0.696,94.0
"Jaso, John",444379,2015,109.4,90.6,38.5,9.5,216.0,0.286,0.38,0.459,0.839,135.0
"Jay, Jon",445055,2015,111.5,86.3,29.1,1.7,245.0,0.21,0.306,0.257,0.563,58.0
"Johnson, Chris",453400,2015,112.9,88.7,37.1,5.3,255.0,0.255,0.286,0.337,0.624,69.0
"Johnson, Kelly",430637,2015,108.7,87.0,33.9,8.3,335.0,0.265,0.314,0.435,0.75,106.0
"Jones, Adam",430945,2015,112.2,88.2,34.5,8.9,581.0,0.269,0.308,0.474,0.782,111.0
"Jones, Garrett",434540,2015,106.1,89.1,38.3,3.7,,,,,,
"Joseph, Caleb",543376,2015,108.3,87.7,31.7,5.6,355.0,0.234,0.299,0.394,0.693,88.0
"Joyce, Matt",459964,2015,107.7,85.7,27.9,3.3,284.0,0.174,0.272,0.291,0.564,60.0
"Kang, Jung Ho",628356,2015,113.1,90.5,46.4,9.6,467.0,0.287,0.355,0.461,0.816,128.0
"Kemp, Matt",461314,2015,109.0,89.5,40.5,8.3,648.0,0.265,0.312,0.443,0.755,109.0
"Kendrick, Howie",435062,2015,111.6,90.3,41.4,3.9,495.0,0.295,0.336,0.409,0.746,109.0
"Kiermaier, Kevin",595281,2015,112.2,87.6,30.9,2.4,535.0,0.263,0.298,0.42,0.718,97.0
"Kinsler, Ian",435079,2015,105.5,86.1,26.6,2.7,675.0,0.296,0.342,0.428,0.77,110.0
"Kipnis, Jason",543401,2015,106.4,89.4,38.5,2.8,641.0,0.303,0.372,0.451,0.823,124.0
"LaRoche, Adam",425560,2015,109.2,89.6,35.9,8.1,484.0,0.207,0.293,0.34,0.634,77.0
"Lagares, Juan",501571,2015,112.7,90.7,40.2,1.7,465.0,0.259,0.289,0.358,0.647,79.0
"Lamb, Jake",571875,2015,109.3,89.6,37.9,6.3,390.0,0.263,0.331,0.386,0.716,91.0
"Lawrie, Brett",543434,2015,112.4,90.0,39.1,4.7,602.0,0.26,0.299,0.407,0.706,94.0
"LeMahieu, DJ",518934,2015,108.0,90.5,40.0,1.9,620.0,0.301,0.358,0.388,0.746,91.0
"Lind, Adam",452252,2015,109.8,89.5,36.0,7.2,572.0,0.277,0.36,0.46,0.82,120.0
"Lindor, Francisco",596019,2015,110.4,89.9,36.7,3.5,438.0,0.313,0.353,0.482,0.835,126.0
"Loney, James",425766,2015,109.7,85.5,21.5,1.2,388.0,0.28,0.322,0.357,0.68,87.0
"Longoria, Evan",446334,2015,109.2,89.6,39.7,8.5,670.0,0.27,0.328,0.435,0.764,109.0
"Lough, David",518953,2015,107.9,84.6,20.8,2.0,,,,,,
"Lowrie, Jed",476704,2015,105.8,89.0,34.9,2.6,263.0,0.222,0.312,0.4,0.712,95.0
"Lucroy, Jonathan",518960,2015,110.3,88.8,33.8,4.1,415.0,0.264,0.326,0.391,0.717,95.0
"Machado, Manny",592518,2015,114.9,91.4,41.7,7.6,713.0,0.286,0.359,0.502,0.861,135.0
"Maldonado, Martín",455117,2015,109.8,87.5,30.5,2.4,256.0,0.21,0.282,0.293,0.575,54.0
"Marisnick, Jake",545350,2015,110.8,85.7,26.2,5.3,372.0,0.236,0.281,0.383,0.665,83.0
"Markakis, Nick",455976,2015,108.5,88.3,33.6,0.8,686.0,0.296,0.37,0.376,0.746,106.0
"Marte, Ketel",606466,2015,109.3,87.2,27.8,1.7,247.0,0.283,0.351,0.402,0.753,112.0
"Marte, Starling",516782,2015,111.9,87.8,35.1,6.7,633.0,0.287,0.337,0.444,0.78,115.0
"Martin, Leonys",547982,2015,110.2,87.9,30.0,2.2,310.0,0.219,0.264,0.313,0.576,52.0
"Martin, Russell",431145,2015,111.5,89.2,40.0,8.2,507.0,0.24,0.329,0.458,0.787,115.0
"Martinez, J.D.",502110,2015,113.2,91.3,48.5,17.3,657.0,0.282,0.344,0.535,0.879,136.0
"Martinez, Victor",400121,2015,108.9,87.7,33.2,4.1,485.0,0.245,0.301,0.366,0.667,77.0
"Mauer, Joe",408045,2015,107.6,89.5,39.9,3.7,666.0,0.265,0.338,0.38,0.718,93.0
"Maxwell, Justin",452239,2015,110.7,88.3,32.0,5.1,274.0,0.209,0.275,0.341,0.616,72.0
"Maybin, Cameron",457727,2015,109.7,88.2,35.9,2.7,555.0,0.267,0.327,0.37,0.697,93.0
"McCann, Brian",435263,2015,112.6,89.5,36.5,5.3,535.0,0.232,0.32,0.437,0.756,106.0
"McCann, James",543510,2015,108.3,88.3,37.3,3.5,425.0,0.264,0.297,0.387,0.683,84.0
"McCutchen, Andrew",457705,2015,111.4,90.6,44.6,9.3,685.0,0.292,0.401,0.488,0.889,144.0
"McGehee, Casey",431171,2015,109.4,88.6,34.2,3.7,258.0,0.198,0.264,0.274,0.538,52.0
"Mercer, Jordy",474568,2015,107.8,87.2,29.3,2.1,430.0,0.244,0.293,0.32,0.613,65.0
"Middlebrooks, Will",519025,2015,113.3,88.6,36.2,7.5,270.0,0.212,0.241,0.361,0.602,64.0
"Miller, Brad",543543,2015,113.4,90.0,40.1,4.3,497.0,0.258,0.329,0.402,0.73,105.0
"Molina, Yadier",425877,2015,105.1,86.4,25.3,2.3,530.0,0.27,0.31,0.35,0.66,81.0
"Montero, Miguel",471083,2015,109.1,88.3,35.2,8.5,403.0,0.248,0.345,0.409,0.754,107.0
"Moore, Tyler",489138,2015,112.0,88.7,35.0,6.3,200.0,0.203,0.25,0.364,0.614,61.0
"Morales, Kendrys",434778,2015,113.4,91.9,47.4,8.9,639.0,0.29,0.362,0.485,0.847,131.0
"Moreland, Mitch",519048,2015,112.5,91.4,45.9,10.4,515.0,0.278,0.33,0.482,0.812,117.0
"Morneau, Justin",408047,2015,109.6,88.7,39.2,5.6,,,,,,
"Morrison, Logan",489149,2015,113.6,89.9,37.7,6.9,511.0,0.225,0.302,0.383,0.685,90.0
"Morse, Michael",434604,2015,115.6,90.4,39.2,9.8,256.0,0.231,0.313,0.336,0.649,84.0
"Moss, Brandon",461235,2015,113.7,89.1,39.5,11.7,526.0,0.226,0.304,0.407,0.711,93.0
"Moustakas, Mike",519058,2015,112.5,89.4,36.5,6.4,614.0,0.284,0.348,0.47,0.817,123.0
"Murphy, Daniel",502517,2015,113.3,89.9,37.9,4.7,538.0,0.281,0.322,0.449,0.77,109.0
"Murphy, David",461815,2015,109.5,88.3,35.2,3.1,391.0,0.283,0.318,0.421,0.739,101.0
"Murphy, John Ryan",571974,2015,108.8,89.7,42.2,5.2,,,,,,
"Myers, Wil",571976,2015,112.5,89.5,40.0,7.1,253.0,0.253,0.336,0.427,0.763,115.0
"Napoli, Mike",435063,2015,111.6,88.5,38.3,8.3,469.0,0.224,0.324,0.41,0.734,99.0
"Nava, Daniel",537953,2015,105.8,86.5,32.4,2.9,,,,,,
"Navarro, Dioner",425900,2015,107.3,87.2,27.4,5.5,,,,,,
"Norris, Derek",519083,2015,112.1,87.1,35.1,2.3,557.0,0.25,0.305,0.404,0.709,98.0
"Núñez, Eduardo",456488,2015,111.0,88.7,31.5,2.5,204.0,0.282,0.327,0.431,0.758,105.0
"Odor, Rougned",596059,2015,111.1,88.3,32.8,5.4,470.0,0.261,0.316,0.465,0.781,107.0
"Orlando, Paulo",449181,2015,112.8,87.9,37.7,5.2,251.0,0.249,0.269,0.444,0.713,89.0
"Ortiz, David",120074,2015,113.6,93.0,49.1,13.1,614.0,0.273,0.36,0.553,0.913,139.0
