player_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Vierling, Matt",663837,369,9.1,32.2,113.0,89.1,100.6,91.7,88.6,448,146,415.0,157,42.8,17,4.6,3.2,2023
"Melendez, MJ",669004,367,16.9,34.6,113.2,93.2,101.4,95.8,90.1,445,196,409.0,182,49.6,42,11.4,7.0,2023
"Cronenworth, Jake",630105,367,15.2,35.7,108.4,87.4,97.7,91.0,83.7,414,174,391.0,122,33.2,16,4.4,3.1,2023
"Soler, Jorge",624585,367,17.8,36.5,114.8,91.3,103.1,96.1,86.7,468,195,411.0,176,48.0,55,15.0,9.5,2023
"Jiménez, Eloy",650391,365,5.7,26.0,113.5,90.9,103.2,95.3,90.3,434,139,406.0,171,46.8,34,9.3,7.0,2023
"Heim, Jonah",641680,364,17.3,34.3,110.3,89.2,99.2,92.2,87.3,433,182,401.0,140,38.5,29,8.0,5.8,2023
"Canha, Mark",592192,362,13.1,30.9,109.4,87.9,99.0,91.5,87.2,436,156,388.0,133,36.7,17,4.7,3.4,2023
"Garcia, Maikel",672580,360,6.1,36.9,110.0,91.8,101.5,95.5,89.4,413,150,391.0,182,50.6,14,3.9,2.7,2023
"McMahon, Ryan",641857,360,9.7,39.4,113.2,90.8,102.0,95.2,85.5,473,176,420.0,159,44.2,41,11.4,6.5,2023
"Rosario, Eddie",592696,359,14.5,35.9,110.4,88.6,98.6,93.3,83.5,443,175,401.0,127,35.4,34,9.5,6.6,2023
"Ohtani, Shohei",660271,357,13.2,35.6,118.6,94.4,105.7,99.3,89.8,493,187,422.0,193,54.2,70,19.6,11.7,2023
"Raleigh, Cal",663728,356,20.3,36.5,113.7,89.5,101.0,94.4,84.3,450,192,395.0,146,41.0,45,12.6,7.9,2023
"McKinstry, Zach",656716,356,17.8,36.8,108.3,87.2,97.7,89.2,84.9,435,185,388.0,119,33.5,27,7.6,5.2,2023
"Realmuto, J.T.",592663,356,16.7,36.2,110.6,89.8,101.3,95.0,86.0,448,181,404.0,154,43.3,40,11.2,7.4,2023
"Ruiz, Esteury",665923,355,9.9,32.4,109.5,82.7,94.0,86.8,80.2,415,131,403.0,71,20.0,9,2.5,1.8,2023
"Drury, Brandon",592273,354,11.8,35.0,112.5,89.9,101.8,94.6,86.6,441,170,398.0,164,46.3,39,11.0,7.5,2023
"India, Jonathan",663697,352,15.2,37.2,111.4,89.5,99.7,93.2,86.9,430,173,393.0,136,38.6,27,7.7,5.1,2023
"Frazier, Adam",624428,350,15.2,40.6,106.7,85.7,95.3,88.2,84.1,413,171,381.0,82,23.4,11,3.1,2.4,2023
"Burger, Jake",669394,347,12.3,33.4,118.2,91.9,105.0,97.8,89.5,461,167,402.0,172,49.6,58,16.7,10.7,2023
"Chapman, Matt",656305,346,18.5,32.4,114.3,93.4,103.5,98.1,90.3,423,182,388.0,195,56.4,59,17.1,10.2,2023
"Lowe, Josh",666139,345,14.3,36.2,113.3,89.1,100.6,91.9,87.3,455,176,411.0,137,39.7,38,11.0,7.6,2023
"Flores, Wilmer",527038,345,22.0,36.2,108.7,86.4,97.4,90.9,84.2,420,185,393.0,112,32.5,27,7.8,5.9,2023
"Rojas, Miguel",500743,344,11.0,33.4,108.7,87.3,97.5,89.7,87.1,398,152,386.0,110,32.0,10,2.9,2.4,2023
"Wade Jr., LaMonte",664774,342,17.4,33.3,111.5,88.4,99.5,92.6,84.0,474,171,399.0,136,39.8,31,9.1,6.0,2023
"Harper, Bryce",547180,342,9.1,36.8,115.7,91.8,103.8,97.1,87.3,451,163,409.0,160,46.8,52,15.2,9.5,2023
"Grichuk, Randal",545341,340,14.0,35.0,112.1,89.6,101.5,92.6,88.1,445,169,401.0,154,45.3,24,7.1,5.1,2023
"Perdomo, Geraldo",672695,339,16.4,34.8,104.9,85.7,94.6,88.2,83.9,413,157,385.0,66,19.5,3,0.9,0.6,2023
"Kepler, Max",596146,336,14.7,35.7,111.7,91.9,102.1,94.5,90.0,440,192,408.0,161,47.9,41,12.2,8.4,2023
"Muncy, Max",571970,335,21.7,33.7,111.1,91.2,101.3,96.1,84.7,435,194,399.0,156,46.6,49,14.6,8.5,2023
"Davis, J.D.",605204,334,7.8,33.5,111.3,91.1,101.4,94.6,89.1,441,150,396.0,151,45.2,32,9.6,5.9,2023
"Massey, Michael",686681,334,19.7,38.0,110.3,88.6,99.5,92.0,86.2,441,185,401.0,132,39.5,26,7.8,5.6,2023
"Stephenson, Tyler",663886,331,8.9,33.5,111.1,89.4,100.0,94.7,84.4,428,158,385.0,144,43.5,25,7.6,4.8,2023
"Nootbaar, Lars",663457,331,7.2,30.8,112.2,89.1,100.3,94.7,84.7,449,154,410.0,125,37.8,29,8.8,5.8,2023
"Kemp, Tony",643393,329,10.0,30.7,103.0,86.7,94.7,90.4,84.2,407,151,382.0,67,20.4,4,1.2,1.0,2023
"Kirk, Alejandro",672386,329,6.3,31.9,108.3,87.6,98.5,91.1,86.0,410,146,382.0,126,38.3,17,5.2,4.0,2023
"Jung, Josh",673962,329,15.0,41.9,110.0,91.8,101.6,94.7,88.6,444,193,401.0,156,47.4,39,11.9,7.6,2023
"Peralta, David",444482,328,8.2,31.1,111.5,89.3,100.8,92.8,87.2,415,151,403.0,145,44.2,16,4.9,3.8,2023
